substrate,year,dfs_m_,depth_m_
Muck,2016,5,0.8
Muck,2016,0.5,0.2
Muck,2016,20,0.8
Muck,2016,10,0.5
Silt,2016,30,1.3
Muck,2016,5,0.3
Muck,2016,20,1
Muck,2016,0.5,0.2
Silt,2016,40,1.6
Silt,2016,70,5
Silt,2016,50,1.8
Silt,2016,60,2.7
Silt,2016,80,5
Sand,2016,80,1.8
Sand,2016,60,1.8
Sand,2016,70,1.8
Sand,2016,40,1.6
Sand,2016,50,1.6
Sand,2016,30,1
Sand,2016,10,0.6
Sand,2016,20,1
Sand,2016,0.5,0.2
Sand,2016,10,0.3
Silt,2016,80,5.5
Silt,2016,70,5.2
Silt,2016,60,4.7
Silt,2016,50,3.5
Silt,2016,40,2.2
Silt,2016,30,1.4
Silt,2016,20,1.2
Sand,2016,10,1
Silt,2016,80,2.8
Gravel,2016,60,2.6
Gravel,2016,50,1
Gravel,2016,40,1
Silt,2016,70,2.8
Sand,2016,0.5,0.2
Sand,2016,5,0.6
Silt,2016,30,2.4
Silt,2016,20,2.2
Sand,2016,5,1.5
Silt,2016,10,2
Muck,2016,0.5,0.2
Silt,2016,80,7.3
Sand,2016,10,1.6
Silt,2016,20,1.8
Silt,2016,30,2.4
Silt,2016,40,3.3
Silt,2016,50,4.5
Silt,2016,60,5.2
Silt,2016,70,6.1
Gravel,2016,0.5,0.6
Sand,2016,60,2
Silt,2016,70,3.6
Gravel,2016,0.5,0.2
Silt,2016,80,3.4
Gravel,2016,5,0.3
Gravel,2016,40,1.4
Gravel,2016,0.5,0.3
Gravel,2016,40,1.4
Sand,2016,10,1.2
Sand,2016,30,1.4
Sand,2016,20,1.4
Sand,2016,80,0.7
Sand,2016,70,1.7
Silt,2016,60,1.7
Gravel,2016,0.5,0.2
Sand,2016,5,1
Silt,2016,50,2
Silt,2016,20,5
Silt,2016,40,2
Sand,2016,10,1.4
Sand,2016,20,0.8
Silt,2016,30,5
Silt,2016,30,15
Silt,2016,40,8.7
Sand,2016,10,0.8
Sand,2016,5,0.6
Silt,2016,50,8.8
Sand,2016,0.5,0.2
Silt,2016,60,8.8
Silt,2016,70,8.8
Silt,2016,80,8
Silt,2017,80,3.9
Silt,2017,60,3
Sand,2016,0.5,0.1
Sand,2016,10,0.3
Silt,2016,10,0.4
Silt,2016,20,0.7
Sand,2016,30,0.8
Sand,2016,40,0.3
Sand,2016,50,0.1
Muck,2017,10,1.2
Muck,2017,0.5,0.3
Muck,2017,20,1.6
Muck,2017,30,1.8
Silt,2017,40,2.1
Silt,2017,50,0
Silt,2017,70,3.8
Muck,2017,5,0.9
Silt,2017,70,5.5
Muck,2017,20,1.5
Muck,2017,0.5,0.1
Silt,2017,60,4
Silt,2017,50,2.8
Silt,2017,40,2.5
Silt,2017,30,2
Muck,2017,20,1.2
Muck,2017,30,1.5
Muck,2017,50,2
Muck,2017,40,2
Muck,2017,60,2
Muck,2017,70,1.5
Muck,2017,80,1.5
Silt,2017,80,6.5
Muck,2017,10,1/1/00
Muck,2017,5,0.5
Sand,2017,10,1
Muck,2017,0.5,0.3
Sand,2017,5,0.5
Silt,2017,80,3.6
Sand,2017,0.5,0.2
Sand,2017,5,1
Sand,2017,10,1.2
Sand,2017,20,2
Silt,2017,30,2.5
Silt,2017,40,3.5
Silt,2017,50,4
Silt,2017,60,5
Silt,2017,70,6
Gravel,2017,70,2
Gravel,2017,60,2
Gravel,2017,80,1.6
Gravel,2017,50,3
Gravel,2017,40,1.5
Sand,2017,5,2
Silt,2017,20,2.5
Silt,2017,30,3.3
Silt,2017,50,8
Silt,2017,30,3
Silt,2017,60,8
Sand,2017,10,2
Silt,2017,40,4.5
Sand,2017,20,2.2
Silt,2017,70,0
Silt,2017,80,10.3
Sand,2017,0.5,0.2
