OBJECTID,BATHYP_COD,BATHY_POLY,AV_LEGEND,WB_NO,WBNAME,WBTOWN,LAKE_NO,BAY_NO,METHOD_COD,METHOD,DATADATE,DEPTH_FT,ACREAGE,Shape__Area,Shape__Length
1482,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,5.98799991,260846.819641113,9890.66503844313
1483,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,5.4289999,236494.40826416,9222.31282585874
1484,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,4.97200012,216583.216796875,8899.32762168707
1485,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,343.38198852,14957734.68573,46698.59235511
1491,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.245,10655.7652587891,411.749766873504
1492,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.097,4221.38360595703,233.790034464093
1496,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,5.34000015,232618.146240234,8354.4003601619
1498,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,4.96000003,216057.74798584,7461.58642641913
1499,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,5.70800018,248656.92791748,5502.89786697691
1503,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,2.70700001,117902.860961914,4554.5213757693
1505,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,2.17199993,94626.8561401367,3532.37561093672
1506,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,1.69000005,73597.7967529297,2325.84033933426
1507,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,1.55299997,67627.462890625,2113.39969042652
1530,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,1.86199998,81117.473815918,1084.91480234467
1543,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.64600002,28151.1564941406,1106.65659995454
1544,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.04199999,1849.87994384766,158.507886721803
1547,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.97399997,42433.8317871094,1817.95724603119
1548,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.284,12370.3375244141,401.395972385116
1549,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.92699998,40374.0865478516,820.805497317624
1550,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.006,251.386779785156,63.2799817875873
1551,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.28600001,12456.1547851563,453.432403640361
1568,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.266,11576.5385742188,392.762241700162
1569,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.048,2087.63879394531,175.027654762474
1570,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,11.44099998,498371.679138184,5056.93427116749
1571,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.19099999,8327.0654296875,329.156532931507
1572,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.12099999,5263.19268798828,279.135147508808
1573,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,8.30300045,361699.22253418,3375.16609058972
1574,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.22699999,9875.35345458984,369.885083946784
1576,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.15399999,6696.29644775391,294.806709066222
1577,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,1.643,71563.405090332,1177.72323577767
